date,volume,isPartial
2020-01-01,8,False
2020-01-02,16,False
2020-01-03,14,False
2020-01-04,17,False
2020-01-05,16,False
2020-01-06,14,False
2020-01-07,17,False
2020-01-08,14,False
2020-01-09,11,False
2020-01-10,17,False
2020-01-11,11,False
2020-01-12,9,False
2020-01-13,16,False
2020-01-14,13,False
2020-01-15,10,False
2020-01-16,14,False
2020-01-17,13,False
2020-01-18,11,False
2020-01-19,12,False
2020-01-20,17,False
2020-01-21,14,False
2020-01-22,9,False
2020-01-23,14,False
2020-01-24,11,False
2020-01-25,18,False
2020-01-26,13,False
2020-01-27,15,False
2020-01-28,11,False
2020-01-29,12,False
2020-01-30,10,False
2020-01-31,17,False
2020-02-01,18,False
2020-02-02,14,False
2020-02-03,13,False
2020-02-04,15,False
2020-02-05,12,False
2020-02-06,11,False
2020-02-07,11,False
2020-02-08,13,False
2020-02-09,13,False
2020-02-10,14,False
2020-02-11,9,False
2020-02-12,16,False
2020-02-13,14,False
2020-02-14,17,False
2020-02-15,10,False
2020-02-16,11,False
2020-02-17,11,False
2020-02-18,17,False
2020-02-19,16,False
2020-02-20,15,False
2020-02-21,13,False
2020-02-22,14,False
2020-02-23,11,False
2020-02-24,17,False
2020-02-25,14,False
2020-02-26,11,False
2020-02-27,15,False
2020-02-28,19,False
2020-02-29,24,False
2020-03-01,16,False
2020-03-02,13,False
2020-03-03,22,False
2020-03-04,18,False
2020-03-05,18,False
2020-03-06,18,False
2020-03-07,16,False
2020-03-08,17,False
2020-03-09,17,False
2020-03-10,20,False
2020-03-11,20,False
2020-03-12,19,False
2020-03-13,36,False
2020-03-14,39,False
2020-03-15,43,False
2020-03-16,43,False
2020-03-17,42,False
2020-03-18,52,False
2020-03-19,62,False
2020-03-20,56,False
2020-03-21,76,False
2020-03-22,84,False
2020-03-23,74,False
2020-03-24,72,False
2020-03-25,85,False
2020-03-26,82,False
2020-03-27,93,False
2020-03-28,100,False
2020-03-29,95,False
2020-03-30,93,True
